ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z;R;G;B;R7;G7;B7
VisPeri_ExStrInf_1;VisPeri;2;Vis;1;RH;10.2758456949546;-44.7255154865674;-23.3577884813555;0.98039;0;0;80;20;129
VisPeri_ExStrInf_2;VisPeri;2;Vis;1;RH;15.7073643260883;-29.4315362192591;-20.4295964594418;0.98039;0;0.0078431;81;20;129
VisPeri_StriCal_1;VisPeri;2;Vis;1;RH;8.65509905756242;-54.5376511314539;-10.3198893556251;0.98039;0;0.011765;82;20;129
VisPeri_ExStrSup_1;VisPeri;2;Vis;1;RH;21.7455770461353;-42.3975976571497;-12.1720710462064;0.98039;0;0.015686;83;20;129
VisPeri_ExStrSup_2;VisPeri;2;Vis;1;RH;10.6198891040328;-54.8637511782957;5.81943990498684;0.98039;0;0.019608;84;20;129
VisPeri_ExStrSup_3;VisPeri;2;Vis;1;RH;16.9399182623515;-65.1892643238164;20.6962285033431;0.98039;0;0.023529;85;20;129
SomMotA_1;SomMotA;3;SomMot;2;RH;53.2447882982036;-0.533326651450153;28.6297730427805;0.2902;0.51373;0.69412;74;129;181
SomMotA_2;SomMotA;3;SomMot;2;RH;46.0956438712021;7.46282457827250;25.3798149056795;0.2902;0.51373;0.69804;74;130;174
SomMotA_3;SomMotA;3;SomMot;2;RH;6.02796716183809;10.7770284522724;30.6038524050570;0.2902;0.51373;0.70196;74;130;175
SomMotA_4;SomMotA;3;SomMot;2;RH;40.0081896587479;-3.16064917020125;35.0097752231399;0.2902;0.51373;0.70588;74;130;176
SomMotA_5;SomMotA;3;SomMot;2;RH;34.7080513461614;-19.1908296858589;37.6507897814262;0.2902;0.51373;0.71373;74;130;177
SomMotA_6;SomMotA;3;SomMot;2;RH;32.3057857094025;-1.54939771864072;42.0657253142236;0.2902;0.51373;0.71765;74;130;178
SomMotA_7;SomMotA;3;SomMot;2;RH;31.3269396587479;-14.5375188283209;43.3952853727125;0.2902;0.51373;0.72157;74;130;179
SomMotA_8;SomMotA;3;SomMot;2;RH;23.2818383073965;9.73472216267008;44.8094041790188;0.2902;0.51373;0.72549;74;130;180
SomMotA_9;SomMotA;3;SomMot;2;RH;10.3061098386242;-21.9370937299510;49.3353245450003;0.2902;0.51373;0.72941;74;130;182
SomMotA_10;SomMotA;3;SomMot;2;RH;5.24120524355645;-4.89154837136827;45.8135221048203;0.2902;0.51373;0.73333;74;130;183
SomMotA_11;SomMotA;3;SomMot;2;RH;19.6001436817364;-10.9396637380089;47.0404028809227;0.2902;0.51373;0.73725;74;130;184
SomMotB_Aud_1;SomMotB;4;SomMot;2;RH;50.9969598586931;3.11029170304036;-13.6904706701525;0.18431;0.80392;0.63529;74;130;185
SomMotB_Aud_2;SomMotB;4;SomMot;2;RH;63.7930800855068;-6.70141012013175;-10.5934635459726;0.18431;0.80392;0.63922;74;130;186
SomMotB_S2_1;SomMotB;4;SomMot;2;RH;37.0672913135942;4.97634543487847;-5.67147364028985;0.18431;0.80392;0.64706;74;130;187
SomMotB_S2_2;SomMotB;4;SomMot;2;RH;42.0160327960028;-9.73728734683942;-1.11818480702605;0.18431;0.80392;0.65098;74;130;188
SomMotB_S2_3;SomMotB;4;SomMot;2;RH;58.5770577670666;20.1599960265398;-9.28314433457368;0.18431;0.80392;0.6549;74;131;181
SomMotB_S2_4;SomMotB;4;SomMot;2;RH;53.4540167700802;6.35163103894307;-5.04045094925530;0.18431;0.80392;0.65882;74;131;182
SomMotB_Cent_1;SomMotB;4;SomMot;2;RH;57.5670107668404;13.8706194980148;7.53230518727578;0.18431;0.80392;0.66275;74;131;183
DorsAttnA_TempOcc_1;DorsAttnA;5;DorsAttn;3;RH;50.9938844816361;-37.4706761852691;-31.2809904560795;0.30588;0.61176;0.24314;4;119;12
DorsAttnA_ParOcc_1;DorsAttnA;5;DorsAttn;3;RH;51.1382584401871;-39.2534264610075;-4.02085051554332;0.30588;0.61176;0.24706;4;119;13
DorsAttnA_SPL_1;DorsAttnA;5;DorsAttn;3;RH;30.8922371048868;-53.2121360517535;14.1243230603184;0.3098;0.60784;0.24314;4;119;14
DorsAttnA_SPL_2;DorsAttnA;5;DorsAttn;3;RH;14.5134794108401;-54.0440964771445;35.1518770847763;0.3098;0.60784;0.24706;4;119;16
DorsAttnA_SPL_3;DorsAttnA;5;DorsAttn;3;RH;33.9750420662346;-25.8910648706127;28.6335674040741;0.3098;0.60784;0.25098;4;119;17
DorsAttnA_SPL_4;DorsAttnA;5;DorsAttn;3;RH;25.6572118894632;-41.1612747204159;39.9922870726615;0.3098;0.60784;0.2549;4;119;18
DorsAttnB_PostC_1;DorsAttnB;6;DorsAttn;3;RH;61.9750901804244;3.39619789231230;8.82332745537126;0.019608;0.46275;0.062745;4;119;19
DorsAttnB_PostC_2;DorsAttnB;6;DorsAttn;3;RH;42.5453856530254;-8.21004207581733;20.6624773433849;0.019608;0.46275;0.066667;4;119;20
DorsAttnB_PostC_3;DorsAttnB;6;DorsAttn;3;RH;7.38874698697590;-35.0975393026881;39.6232252392303;0.019608;0.46275;0.070588;4;119;21
DorsAttnB_PostC_4;DorsAttnB;6;DorsAttn;3;RH;23.2656227150729;-26.9216312475268;47.9337823140791;0.019608;0.46275;0.07451;4;119;22
DorsAttnB_FEF_1;DorsAttnB;6;DorsAttn;3;RH;36.4815881386610;14.7675503899201;30.8346328889992;0.019608;0.46667;0.058824;5;118;15
SalVentAttnA_ParOper_1;SalVentAttnA;7;SalVentAttn;4;RH;59.0510458891879;-7.68534607811333;7.81540826103722;0.78431;0.22745;0.98039;201;58;252
SalVentAttnA_PrC_1;SalVentAttnA;7;SalVentAttn;4;RH;51.1169986791848;22.6077287051534;20.6921262377583;0.78431;0.22353;0.98431;201;58;253
