ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z
DefaultB_PFCv_3;DefaultB;30;LH_Default;13;LH;-47.0301455000692;53.0005082801128;-26.1417428538300
DefaultB_PFCv_4;DefaultB;30;LH_Default;13;LH;-52.7510653773601;42.7849559911394;-12.1975268897352
DefaultC_IPL_1;LH_DefaultC;31;LH_Default;13;LH;-36.8693689223395;-59.7553252791869;14.7212342763432
DefaultC_Rsp_1;LH_DefaultC;31;LH_Default;13;LH;-12.5763747351915;-38.2694317071088;-7.24481879395415
DefaultC_PHC_1;LH_DefaultC;31;LH_Default;13;LH;-26.4290328186675;-14.0099340403864;-37.6453814949188
TempPar_1;LH_TempPar;33;LH_TempPar;15;LH;-57.9394901710620;-24.9219465972346;-11.7032452000172
TempPar_2;LH_TempPar;33;LH_TempPar;15;LH;-50.6807115826826;-40.5890115557621;2.82484490810255
VisCent_ExStr_1;RH_VisCent;2;RH_Vis;2;RH;28.4416483228151;-46.7555000171061;-32.8174862497403
VisCent_ExStr_2;RH_VisCent;2;RH_Vis;2;RH;47.6289012216449;-51.3901368927004;-18.0518179468555
VisCent_Striate_1;RH_VisCent;2;RH_Vis;2;RH;8.97400847175274;-70.7753747432685;-24.9448438290032
VisCent_ExStr_3;RH_VisCent;2;RH_Vis;2;RH;31.5406571912154;-72.7194722915244;-23.4028815645169
VisCent_ExStr_4;RH_VisCent;2;RH_Vis;2;RH;42.7238527317604;-59.8552312702527;-4.64673175740407
VisCent_ExStr_5;RH_VisCent;2;RH_Vis;2;RH;20.3844119634885;-70.3017493952227;4.46193018487986
VisPeri_ExStrInf_1;RH_VisPeri;4;RH_Vis;2;RH;10.2758456949546;-44.7255154865674;-23.3577884813555
VisPeri_ExStrInf_2;RH_VisPeri;4;RH_Vis;2;RH;15.7073643260883;-29.4315362192591;-20.4295964594418
VisPeri_StriCal_1;RH_VisPeri;4;RH_Vis;2;RH;8.65509905756242;-54.5376511314539;-10.3198893556251
VisPeri_ExStrSup_1;RH_VisPeri;4;RH_Vis;2;RH;21.7455770461353;-42.3975976571497;-12.1720710462064
VisPeri_ExStrSup_2;RH_VisPeri;4;RH_Vis;2;RH;10.6198891040328;-54.8637511782957;5.81943990498684
VisPeri_ExStrSup_3;RH_VisPeri;4;RH_Vis;2;RH;16.9399182623515;-65.1892643238164;20.6962285033431
SomMotA_1;RH_SomMotA;6;RH_SomMot;4;RH;53.2447882982036;-0.533326651450153;28.6297730427805
