,i,j,w
702,47,27,69.3020083904266
703,47,28,30.4335893988609
704,47,32,0.586409747600555
705,47,33,35.6601212918758
706,47,34,50.5691721439362
707,47,35,138.117391228676
708,47,36,37.1540681421757
709,47,37,84.2121090590954
710,47,38,71.5559717714787
711,47,39,5.98135977983475
712,47,40,150.598103255033
713,47,41,38.0985312461853
714,47,42,16.4778413772583
715,47,43,79.6374741494656
716,47,44,0.460873186588287
717,47,46,11.8629249632359
718,48,0,1.82132536172867
719,48,3,0.672966063022614
720,48,6,2.00735604763031
721,48,7,1.89642181992531
722,48,8,0.487270891666412
723,48,10,2.25863888859749
724,48,12,0.972406387329102
725,48,16,2.65743851661682
726,48,18,11.217670828104
727,48,19,4.28299331665039
728,48,20,0.579003989696503
729,48,21,0.471013426780701
730,48,22,3.0558890402317
731,48,23,1.06630396842957
732,48,24,2.03695541620255
733,48,25,0.580550074577332
734,48,26,1.29440107941628
735,48,27,0.541160583496094
736,48,28,1.31308257579803
737,48,29,0.424862593412399
738,48,32,2.44176697731018
739,48,33,0.357758611440659
740,48,35,0.378996253013611
741,48,36,1.39816546440125
742,48,38,4.14060795307159
743,48,39,9.11360135674477
744,48,41,29.2873350977898
745,48,42,1.36035853624344
746,48,43,16.7276715636253
747,48,44,0.757507979869843
748,48,45,2.72258433699608
749,48,46,8.89609891176224
750,48,47,1.1646723151207
751,49,0,0.451877892017365
752,49,1,4.01979553699493
753,49,2,0.392976552248001
754,49,3,0.376155734062195
755,49,4,0.838876783847809
756,49,5,0.9200359582901
757,49,6,2.45230048894882
758,49,7,4.74065357446671
759,49,8,2.02689468860626
760,49,9,0.359533190727234
761,49,10,2.43779277801514
762,49,12,0.567164897918701
763,49,16,2.50970363616943
764,49,18,1.61619728803635
765,49,22,16.3095045685768
766,49,23,8.1089249253273
767,49,24,40.2930218577385
768,49,25,5.85791707038879
769,49,26,2.35739088058472
770,49,27,5.60405921936035
771,49,29,0.431225836277008
772,49,30,0.774385452270508
773,49,31,1.07024544477463
774,49,33,0.315425097942352
775,49,35,2.68353909254074
776,49,40,12.6905712783337
777,49,41,488.114219725132
778,49,42,133.107060194016
779,49,43,561.959650754929
780,49,46,0.507152497768402
781,49,47,4.04437184333801
